text,label
"QUOTATION
Quote #: QT-1853
Date: 4/11/2023
Customer: Client 80
Description: Service 17
Subtotal: $3130.56
Tax: $626.11
Total: $3756.67
Valid until: 74 days",quote
"DEVIS
N° Devis: QT-1993
Date: 13/6/2023
Client: Client 4
Désignation: Service 5
Montant HT: 2218.18€
TVA: 443.64€
Total TTC: 2661.82€
Validité: 38 jours",quote
"DEVIS
N° Devis: QT-9211
Date: 23/2/2023
Client: Client 77
Désignation: Service 7
Montant HT: 3713.92€
TVA: 742.78€
Total TTC: 4456.70€
Validité: 73 jours",quote
"DEVIS
N° Devis: QT-9436
Date: 23/5/2023
Client: Client 93
Désignation: Service 37
Montant HT: 3305.04€
TVA: 661.01€
Total TTC: 3966.05€
Validité: 65 jours",quote
"DEVIS
N° Devis: QT-6284
Date: 19/7/2023
Client: Client 70
Désignation: Service 20
Montant HT: 744.83€
TVA: 148.97€
Total TTC: 893.80€
Validité: 87 jours",quote
"QUOTATION
Quote #: QT-3574
Date: 14/7/2023
Customer: Client 18
Description: Service 42
Subtotal: $1269.53
Tax: $253.91
Total: $1523.44
Valid until: 47 days",quote
"QUOTATION
Quote #: QT-6789
Date: 12/5/2023
Customer: Client 64
Description: Service 25
Subtotal: $4009.47
Tax: $801.89
Total: $4811.36
Valid until: 37 days",quote
"DEVIS
N° Devis: QT-1562
Date: 27/2/2023
Client: Client 22
Désignation: Service 16
Montant HT: 2585.61€
TVA: 517.12€
Total TTC: 3102.73€
Validité: 65 jours",quote
"DEVIS
N° Devis: QT-9363
Date: 21/1/2023
Client: Client 34
Désignation: Service 17
Montant HT: 3955.59€
TVA: 791.12€
Total TTC: 4746.71€
Validité: 84 jours",quote
"QUOTATION
Quote #: QT-5428
Date: 22/11/2023
Customer: Client 27
Description: Service 25
Subtotal: $3456.46
Tax: $691.29
Total: $4147.75
Valid until: 35 days",quote
"QUOTATION
Quote #: QT-5132
Date: 1/11/2023
Customer: Client 79
Description: Service 30
Subtotal: $3604.24
Tax: $720.85
Total: $4325.09
Valid until: 56 days",quote
"QUOTATION
Quote #: QT-7590
Date: 3/10/2023
Customer: Client 73
Description: Service 35
Subtotal: $2574.63
Tax: $514.93
Total: $3089.56
Valid until: 47 days",quote
"DEVIS
N° Devis: QT-5898
Date: 3/8/2023
Client: Client 93
Désignation: Service 15
Montant HT: 1767.86€
TVA: 353.57€
Total TTC: 2121.43€
Validité: 72 jours",quote
"DEVIS
N° Devis: QT-4658
Date: 8/11/2023
Client: Client 53
Désignation: Service 48
Montant HT: 4336.64€
TVA: 867.33€
Total TTC: 5203.97€
Validité: 51 jours",quote
"DEVIS
N° Devis: QT-8432
Date: 13/6/2023
Client: Client 91
Désignation: Service 47
Montant HT: 2096.36€
TVA: 419.27€
Total TTC: 2515.63€
Validité: 28 jours",quote
"QUOTATION
Quote #: QT-8197
Date: 15/6/2023
Customer: Client 2
Description: Service 30
Subtotal: $4037.66
Tax: $807.53
Total: $4845.19
Valid until: 90 days",quote
"QUOTATION
Quote #: QT-2164
Date: 22/10/2023
Customer: Client 48
Description: Service 47
Subtotal: $4038.36
Tax: $807.67
Total: $4846.03
Valid until: 89 days",quote
"DEVIS
N° Devis: QT-6983
Date: 21/4/2023
Client: Client 7
Désignation: Service 42
Montant HT: 4601.79€
TVA: 920.36€
Total TTC: 5522.15€
Validité: 36 jours",quote
"DEVIS
N° Devis: QT-1791
Date: 8/10/2023
Client: Client 88
Désignation: Service 7
Montant HT: 4234.18€
TVA: 846.84€
Total TTC: 5081.02€
Validité: 89 jours",quote
"DEVIS
N° Devis: QT-4626
Date: 14/9/2023
Client: Client 37
Désignation: Service 19
Montant HT: 1872.54€
TVA: 374.51€
Total TTC: 2247.05€
Validité: 37 jours",quote
"QUOTATION
Quote #: QT-2717
Date: 18/12/2023
Customer: Client 70
Description: Service 6
Subtotal: $4253.02
Tax: $850.60
Total: $5103.62
Valid until: 19 days",quote
"QUOTATION
Quote #: QT-2514
Date: 16/3/2023
Customer: Client 6
Description: Service 26
Subtotal: $4382.32
Tax: $876.46
Total: $5258.78
Valid until: 84 days",quote
"QUOTATION
Quote #: QT-5451
Date: 24/6/2023
Customer: Client 77
Description: Service 43
Subtotal: $3238.05
Tax: $647.61
Total: $3885.66
Valid until: 39 days",quote
"QUOTATION
Quote #: QT-8713
Date: 24/7/2023
Customer: Client 95
Description: Service 17
Subtotal: $662.90
Tax: $132.58
Total: $795.48
Valid until: 36 days",quote
"DEVIS
N° Devis: QT-2661
Date: 16/11/2023
Client: Client 23
Désignation: Service 49
Montant HT: 3757.25€
TVA: 751.45€
Total TTC: 4508.70€
Validité: 80 jours",quote
"DEVIS
N° Devis: QT-7337
Date: 15/3/2023
Client: Client 2
Désignation: Service 39
Montant HT: 835.50€
TVA: 167.10€
Total TTC: 1002.60€
Validité: 67 jours",quote
"QUOTATION
Quote #: QT-1244
Date: 8/2/2023
Customer: Client 19
Description: Service 31
Subtotal: $2155.74
Tax: $431.15
Total: $2586.89
Valid until: 71 days",quote
"QUOTATION
Quote #: QT-3655
Date: 20/3/2023
Customer: Client 8
Description: Service 2
Subtotal: $3296.33
Tax: $659.27
Total: $3955.60
Valid until: 20 days",quote
"QUOTATION
Quote #: QT-4596
Date: 17/7/2023
Customer: Client 69
Description: Service 23
Subtotal: $3762.20
Tax: $752.44
Total: $4514.64
Valid until: 89 days",quote
"DEVIS
N° Devis: QT-6186
Date: 1/7/2023
Client: Client 74
Désignation: Service 23
Montant HT: 695.15€
TVA: 139.03€
Total TTC: 834.18€
Validité: 89 jours",quote
"DEVIS
N° Devis: QT-5624
Date: 19/8/2023
Client: Client 45
Désignation: Service 49
Montant HT: 1720.94€
TVA: 344.19€
Total TTC: 2065.13€
Validité: 74 jours",quote
"DEVIS
N° Devis: QT-2237
Date: 28/10/2023
Client: Client 48
Désignation: Service 24
Montant HT: 1421.19€
TVA: 284.24€
Total TTC: 1705.43€
Validité: 89 jours",quote
"DEVIS
N° Devis: QT-7289
Date: 22/4/2023
Client: Client 58
Désignation: Service 15
Montant HT: 4952.98€
TVA: 990.60€
Total TTC: 5943.58€
Validité: 61 jours",quote
"DEVIS
N° Devis: QT-2326
Date: 24/10/2023
Client: Client 9
Désignation: Service 6
Montant HT: 4603.03€
TVA: 920.61€
Total TTC: 5523.64€
Validité: 61 jours",quote
"QUOTATION
Quote #: QT-9348
Date: 13/11/2023
Customer: Client 7
Description: Service 14
Subtotal: $804.58
Tax: $160.92
Total: $965.50
Valid until: 86 days",quote
"DEVIS
N° Devis: QT-8470
Date: 25/9/2023
Client: Client 59
Désignation: Service 7
Montant HT: 1097.29€
TVA: 219.46€
Total TTC: 1316.75€
Validité: 28 jours",quote
"DEVIS
N° Devis: QT-3935
Date: 1/7/2023
Client: Client 94
Désignation: Service 40
Montant HT: 1422.14€
TVA: 284.43€
Total TTC: 1706.57€
Validité: 54 jours",quote
"QUOTATION
Quote #: QT-9855
Date: 4/4/2023
Customer: Client 40
Description: Service 27
Subtotal: $4359.92
Tax: $871.98
Total: $5231.90
Valid until: 80 days",quote
"QUOTATION
Quote #: QT-4889
Date: 15/3/2023
Customer: Client 58
Description: Service 37
Subtotal: $2735.97
Tax: $547.19
Total: $3283.16
Valid until: 42 days",quote
"QUOTATION
Quote #: QT-7216
Date: 25/2/2023
Customer: Client 50
Description: Service 28
Subtotal: $776.75
Tax: $155.35
Total: $932.10
Valid until: 50 days",quote
"QUOTATION
Quote #: QT-3578
Date: 19/5/2023
Customer: Client 71
Description: Service 19
Subtotal: $3923.29
Tax: $784.66
Total: $4707.95
Valid until: 62 days",quote
"QUOTATION
Quote #: QT-8268
Date: 1/9/2023
Customer: Client 15
Description: Service 12
Subtotal: $2990.56
Tax: $598.11
Total: $3588.67
Valid until: 60 days",quote
"QUOTATION
Quote #: QT-1752
Date: 6/10/2023
Customer: Client 95
Description: Service 2
Subtotal: $3742.99
Tax: $748.60
Total: $4491.59
Valid until: 33 days",quote
"QUOTATION
Quote #: QT-3787
Date: 21/11/2023
Customer: Client 74
Description: Service 7
Subtotal: $3149.71
Tax: $629.94
Total: $3779.65
Valid until: 81 days",quote
"DEVIS
N° Devis: QT-3824
Date: 21/2/2023
Client: Client 76
Désignation: Service 44
Montant HT: 1102.54€
TVA: 220.51€
Total TTC: 1323.05€
Validité: 56 jours",quote
"QUOTATION
Quote #: QT-6541
Date: 16/1/2023
Customer: Client 82
Description: Service 4
Subtotal: $4659.28
Tax: $931.86
Total: $5591.14
Valid until: 55 days",quote
"QUOTATION
Quote #: QT-7747
Date: 1/12/2023
Customer: Client 58
Description: Service 47
Subtotal: $3140.49
Tax: $628.10
Total: $3768.59
Valid until: 77 days",quote
"DEVIS
N° Devis: QT-5672
Date: 10/2/2023
Client: Client 23
Désignation: Service 48
Montant HT: 4182.68€
TVA: 836.54€
Total TTC: 5019.22€
Validité: 74 jours",quote
"DEVIS
N° Devis: QT-8621
Date: 24/9/2023
Client: Client 12
Désignation: Service 29
Montant HT: 4608.63€
TVA: 921.73€
Total TTC: 5530.36€
Validité: 55 jours",quote
"DEVIS
N° Devis: QT-6939
Date: 19/3/2023
Client: Client 97
Désignation: Service 27
Montant HT: 2471.49€
TVA: 494.30€
Total TTC: 2965.79€
Validité: 64 jours",quote
"DEVIS
N° Devis: QT-5686
Date: 27/5/2023
Client: Client 23
Désignation: Service 34
Montant HT: 1701.04€
TVA: 340.21€
Total TTC: 2041.25€
Validité: 90 jours",quote
"DEVIS
N° Devis: QT-2962
Date: 28/2/2023
Client: Client 83
Désignation: Service 36
Montant HT: 1329.62€
TVA: 265.92€
Total TTC: 1595.54€
Validité: 50 jours",quote
"DEVIS
N° Devis: QT-5301
Date: 6/9/2023
Client: Client 49
Désignation: Service 3
Montant HT: 690.14€
TVA: 138.03€
Total TTC: 828.17€
Validité: 40 jours",quote
"DEVIS
N° Devis: QT-8662
Date: 23/5/2023
Client: Client 56
Désignation: Service 10
Montant HT: 1362.33€
TVA: 272.47€
Total TTC: 1634.80€
Validité: 65 jours",quote
"DEVIS
N° Devis: QT-2798
Date: 2/7/2023
Client: Client 80
Désignation: Service 43
Montant HT: 1690.90€
TVA: 338.18€
Total TTC: 2029.08€
Validité: 15 jours",quote
"QUOTATION
Quote #: QT-4730
Date: 13/8/2023
Customer: Client 65
Description: Service 37
Subtotal: $2489.03
Tax: $497.81
Total: $2986.84
Valid until: 78 days",quote
"DEVIS
N° Devis: QT-7519
Date: 16/10/2023
Client: Client 85
Désignation: Service 14
Montant HT: 2207.66€
TVA: 441.53€
Total TTC: 2649.19€
Validité: 48 jours",quote
"DEVIS
N° Devis: QT-2251
Date: 15/8/2023
Client: Client 18
Désignation: Service 3
Montant HT: 4919.35€
TVA: 983.87€
Total TTC: 5903.22€
Validité: 66 jours",quote
"QUOTATION
Quote #: QT-2333
Date: 5/6/2023
Customer: Client 21
Description: Service 38
Subtotal: $1328.78
Tax: $265.76
Total: $1594.54
Valid until: 40 days",quote
"QUOTATION
Quote #: QT-3201
Date: 3/6/2023
Customer: Client 23
Description: Service 3
Subtotal: $3149.21
Tax: $629.84
Total: $3779.05
Valid until: 71 days",quote
"QUOTATION
Quote #: QT-3735
Date: 28/3/2023
Customer: Client 58
Description: Service 33
Subtotal: $3603.38
Tax: $720.68
Total: $4324.06
Valid until: 17 days",quote
"DEVIS
N° Devis: QT-1424
Date: 10/12/2023
Client: Client 87
Désignation: Service 14
Montant HT: 2030.63€
TVA: 406.13€
Total TTC: 2436.76€
Validité: 42 jours",quote
"QUOTATION
Quote #: QT-2836
Date: 28/6/2023
Customer: Client 96
Description: Service 12
Subtotal: $2829.18
Tax: $565.84
Total: $3395.02
Valid until: 61 days",quote
"QUOTATION
Quote #: QT-8395
Date: 19/6/2023
Customer: Client 71
Description: Service 32
Subtotal: $4615.65
Tax: $923.13
Total: $5538.78
Valid until: 30 days",quote
"DEVIS
N° Devis: QT-8368
Date: 1/1/2023
Client: Client 38
Désignation: Service 1
Montant HT: 2214.66€
TVA: 442.93€
Total TTC: 2657.59€
Validité: 49 jours",quote
"DEVIS
N° Devis: QT-2355
Date: 6/2/2023
Client: Client 54
Désignation: Service 33
Montant HT: 2639.61€
TVA: 527.92€
Total TTC: 3167.53€
Validité: 61 jours",quote
"DEVIS
N° Devis: QT-3339
Date: 5/7/2023
Client: Client 77
Désignation: Service 18
Montant HT: 945.97€
TVA: 189.19€
Total TTC: 1135.16€
Validité: 76 jours",quote
"DEVIS
N° Devis: QT-5971
Date: 19/6/2023
Client: Client 50
Désignation: Service 45
Montant HT: 4240.97€
TVA: 848.19€
Total TTC: 5089.16€
Validité: 28 jours",quote
"DEVIS
N° Devis: QT-7763
Date: 23/7/2023
Client: Client 33
Désignation: Service 22
Montant HT: 1609.28€
TVA: 321.86€
Total TTC: 1931.14€
Validité: 69 jours",quote
"DEVIS
N° Devis: QT-6267
Date: 8/6/2023
Client: Client 18
Désignation: Service 16
Montant HT: 1073.05€
TVA: 214.61€
Total TTC: 1287.66€
Validité: 24 jours",quote
"DEVIS
N° Devis: QT-5142
Date: 19/2/2023
Client: Client 8
Désignation: Service 38
Montant HT: 941.97€
TVA: 188.39€
Total TTC: 1130.36€
Validité: 49 jours",quote
"QUOTATION
Quote #: QT-8107
Date: 4/7/2023
Customer: Client 77
Description: Service 35
Subtotal: $547.41
Tax: $109.48
Total: $656.89
Valid until: 43 days",quote
"QUOTATION
Quote #: QT-9588
Date: 3/10/2023
Customer: Client 59
Description: Service 15
Subtotal: $962.31
Tax: $192.46
Total: $1154.77
Valid until: 27 days",quote
"QUOTATION
Quote #: QT-6418
Date: 1/10/2023
Customer: Client 53
Description: Service 13
Subtotal: $3197.97
Tax: $639.59
Total: $3837.56
Valid until: 60 days",quote
"DEVIS
N° Devis: QT-4954
Date: 7/3/2023
Client: Client 83
Désignation: Service 34
Montant HT: 2849.50€
TVA: 569.90€
Total TTC: 3419.40€
Validité: 84 jours",quote
"DEVIS
N° Devis: QT-9848
Date: 6/8/2023
Client: Client 97
Désignation: Service 27
Montant HT: 3105.64€
TVA: 621.13€
Total TTC: 3726.77€
Validité: 50 jours",quote
"DEVIS
N° Devis: QT-4207
Date: 6/3/2023
Client: Client 47
Désignation: Service 24
Montant HT: 608.56€
TVA: 121.71€
Total TTC: 730.27€
Validité: 46 jours",quote
"QUOTATION
Quote #: QT-6268
Date: 25/12/2023
Customer: Client 11
Description: Service 21
Subtotal: $2060.73
Tax: $412.15
Total: $2472.88
Valid until: 74 days",quote
"DEVIS
N° Devis: QT-6247
Date: 28/3/2023
Client: Client 89
Désignation: Service 35
Montant HT: 1735.06€
TVA: 347.01€
Total TTC: 2082.07€
Validité: 47 jours",quote
"QUOTATION
Quote #: QT-1104
Date: 12/12/2023
Customer: Client 54
Description: Service 7
Subtotal: $3635.13
Tax: $727.03
Total: $4362.16
Valid until: 58 days",quote
"DEVIS
N° Devis: QT-8510
Date: 23/9/2023
Client: Client 48
Désignation: Service 23
Montant HT: 4441.69€
TVA: 888.34€
Total TTC: 5330.03€
Validité: 74 jours",quote
"DEVIS
N° Devis: QT-1087
Date: 11/7/2023
Client: Client 68
Désignation: Service 27
Montant HT: 4984.34€
TVA: 996.87€
Total TTC: 5981.21€
Validité: 46 jours",quote
"DEVIS
N° Devis: QT-7398
Date: 10/5/2023
Client: Client 12
Désignation: Service 8
Montant HT: 2503.74€
TVA: 500.75€
Total TTC: 3004.49€
Validité: 18 jours",quote
"DEVIS
N° Devis: QT-6071
Date: 1/10/2023
Client: Client 51
Désignation: Service 48
Montant HT: 4864.34€
TVA: 972.87€
Total TTC: 5837.21€
Validité: 71 jours",quote
"QUOTATION
Quote #: QT-9350
Date: 3/7/2023
Customer: Client 36
Description: Service 38
Subtotal: $3553.22
Tax: $710.64
Total: $4263.86
Valid until: 84 days",quote
"QUOTATION
Quote #: QT-1821
Date: 6/4/2023
Customer: Client 66
Description: Service 16
Subtotal: $704.52
Tax: $140.90
Total: $845.42
Valid until: 41 days",quote
"DEVIS
N° Devis: QT-7126
Date: 2/10/2023
Client: Client 94
Désignation: Service 47
Montant HT: 538.32€
TVA: 107.66€
Total TTC: 645.98€
Validité: 20 jours",quote
"QUOTATION
Quote #: QT-2104
Date: 20/1/2023
Customer: Client 6
Description: Service 30
Subtotal: $1277.65
Tax: $255.53
Total: $1533.18
Valid until: 48 days",quote
